Dimensión,Métrica / Parámetro,Gemma-4-31B-it,Gemini Flash 3.5,Gemini Flash 3.7
Parámetros del Espacio,Número de Categorías CIF evaluadas,24 códigos,24 códigos,24 códigos
Parámetros del Espacio,Soporte Real Ground Truth (menciones),465,465,465
Parámetros del Espacio,Prevalencia de b280 en el Corpus,92.1% (105/114),92.1% (105/114),92.1% (105/114)
Espacio Completo (Con b280),Micro-F1,0.9797,0.9819,0.9849
Espacio Completo (Con b280),Macro-F1,0.9731,0.9768,0.9789
Espacio Completo (Con b280),Weighted-F1,0.9794,0.9819,0.9838
Espacio Completo (Con b280),Exact Match Ratio (EMR %),86.84% (99/114),87.72% (100/114),89.47% (102/114)
Espacio Completo (Con b280),Matriz de Confusión (TP / FP / FN),458 / 12 / 7,460 / 12 / 5,458 / 7 / 7
Ablación (Sin dolor b280),Micro-F1,0.9738,0.9766,0.9806
Ablación (Sin dolor b280),Macro-F1,0.9719,0.9758,0.9780
Ablación (Sin dolor b280),Weighted-F1,0.9734,0.9766,0.9791
Ablación (Sin dolor b280),Exact Match Ratio (EMR %),86.84% (99/114),87.72% (100/114),89.47% (102/114)
Ablación (Sin dolor b280),Matriz de Confusión (TP / FP / FN),353 / 12 / 7,355 / 12 / 5,353 / 7 / 7
Variación Absoluta (Δ = Sin - Con),Δ Micro-F1,-0.0059,-0.0052,-0.0044
Variación Absoluta (Δ = Sin - Con),Δ Macro-F1,-0.0012,-0.0010,-0.0009
Variación Absoluta (Δ = Sin - Con),Δ Weighted-F1,-0.0060,-0.0053,-0.0047
Variación Absoluta (Δ = Sin - Con),Δ EMR (%),+0.00%,+0.00%,+0.00%
Tasa de Retención (%),Retención Micro-F1,99.40%,99.47%,99.55%
Tasa de Retención (%),Retención Macro-F1,99.88%,99.90%,99.91%
Tasa de Retención (%),Retención Weighted-F1,99.39%,99.46%,99.52%
Tasa de Retención (%),Retención EMR,100.00%,100.00%,100.00%
