componente_id,componente_nombre,codigo,nombre_categoria,soporte_real,f35_tp,f35_fp,f35_fn,f35_prec,f35_rec,f35_f1,f36_tp,f36_fp,f36_fn,f36_prec,f36_rec,f36_f1,gemma_tp,gemma_fp,gemma_fn,gemma_prec,gemma_rec,gemma_f1
b,Funciones Corporales,b130,Funciones relacionadas con la energía y los impulsos,4,4,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,2,0,2,1.0,0.5,0.6667
b,Funciones Corporales,b134,Funciones del sueño,6,6,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0
b,Funciones Corporales,b147,Funciones psicomotoras,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
b,Funciones Corporales,b152,Funciones emocionales,4,3,0,1,1.0,0.75,0.8571,3,0,1,1.0,0.75,0.8571,3,0,1,1.0,0.75,0.8571
b,Funciones Corporales,b1602,Contenido del pensamiento,6,6,0,0,1.0,1.0,1.0,5,0,1,1.0,0.8333,0.9091,6,0,0,1.0,1.0,1.0
b,Funciones Corporales,b175,Funciones cognitivas superiores (Resolver problemas),0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
b,Funciones Corporales,b240,Sensaciones corporales y manejo del estrés,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
b,Funciones Corporales,b280,Sensación de dolor,21,21,0,0,1.0,1.0,1.0,21,0,0,1.0,1.0,1.0,21,0,0,1.0,1.0,1.0
b,Funciones Corporales,b455,Tolerancia al ejercicio físico,5,2,0,3,1.0,0.4,0.5714,2,0,3,1.0,0.4,0.5714,3,1,2,0.75,0.6,0.6667
b,Funciones Corporales,b730,Funciones relacionadas con la fuerza muscular,6,3,1,3,0.75,0.5,0.6,3,1,3,0.75,0.5,0.6,3,2,3,0.6,0.5,0.5455
b,Funciones Corporales,b760,Control de los movimientos voluntarios,1,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
d,Actividades y Participación,d175,Resolver problemas,3,1,0,2,1.0,0.3333,0.5,1,0,2,1.0,0.3333,0.5,1,0,2,1.0,0.3333,0.5
d,Actividades y Participación,d230,Llevar a cabo rutinas diarias,7,5,1,2,0.8333,0.7143,0.7692,5,0,2,1.0,0.7143,0.8333,5,1,2,0.8333,0.7143,0.7692
d,Actividades y Participación,d240,Manejo del estrés y demandas psicológicas,3,1,0,2,1.0,0.3333,0.5,2,0,1,1.0,0.6667,0.8,1,0,2,1.0,0.3333,0.5
d,Actividades y Participación,d290,Tareas y demandas generales (Ocio),0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
d,Actividades y Participación,d430,Levantar y llevar objetos,8,4,1,4,0.8,0.5,0.6154,4,0,4,1.0,0.5,0.6667,4,1,4,0.8,0.5,0.6154
d,Actividades y Participación,d450,Andar y desplazarse,4,1,0,3,1.0,0.25,0.4,1,0,3,1.0,0.25,0.4,1,0,3,1.0,0.25,0.4
d,Actividades y Participación,d640,Realizar los quehaceres de la casa,4,2,0,2,1.0,0.5,0.6667,2,1,2,0.6667,0.5,0.5714,2,2,2,0.5,0.5,0.5
d,Actividades y Participación,d760,Relaciones familiares,3,2,0,1,1.0,0.6667,0.8,2,0,1,1.0,0.6667,0.8,1,1,2,0.5,0.3333,0.4
d,Actividades y Participación,d770,Relaciones íntimas y sociales,3,1,0,2,1.0,0.3333,0.5,1,0,2,1.0,0.3333,0.5,1,0,2,1.0,0.3333,0.5
d,Actividades y Participación,d850,Trabajo remunerado,7,6,1,1,0.8571,0.8571,0.8571,7,1,0,0.875,1.0,0.9333,7,2,0,0.7778,1.0,0.875
d,Actividades y Participación,d920,Tiempo libre y ocio,8,7,1,1,0.875,0.875,0.875,7,0,1,1.0,0.875,0.9333,7,1,1,0.875,0.875,0.875
e,Factores Ambientales,e1101,Medicamentos,7,7,2,0,0.7778,1.0,0.875,7,3,0,0.7,1.0,0.8235,7,3,0,0.7,1.0,0.8235
e,Factores Ambientales,e310,Familiares cercanos,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0
e,Factores Ambientales,e355,Profesionales de la salud,2,1,1,1,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,2,3,0,0.4,1.0,0.5714
e,Factores Ambientales,e410,Actitudes individuales de miembros de la familia cercana,1,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
e,Factores Ambientales,e570,"Servicios, sistemas y políticas de seguridad social",5,3,0,2,1.0,0.6,0.75,3,0,2,1.0,0.6,0.75,3,0,2,1.0,0.6,0.75
